,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
72,2021,EN,FT,Research Scientist,60000,GBP,GB,50,GB,L,70200
73,2021,EX,FT,BI Data Analyst,150000,USD,IN,100,US,L,150000
74,2021,EX,FT,Head of Data,235000,USD,US,100,US,L,235000
75,2021,SE,FT,Data Scientist,45000,EUR,FR,50,FR,L,45450
76,2021,MI,FT,BI Data Analyst,100000,USD,US,100,US,M,100000
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,IN,50,IN,M,5200
78,2021,MI,CT,ML Engineer,270000,USD,US,100,US,L,270000
79,2021,EN,FT,Data Analyst,80000,USD,US,100,US,M,80000
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,DE,100,DE,L,67670
81,2021,MI,FT,Data Engineer,140000,USD,US,100,US,L,140000
82,2021,MI,FT,Applied Data Scientist,68000,CAD,GB,50,CA,L,52360
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,ES,100,ES,S,40400
84,2021,EX,FT,Director of Data Science,130000,EUR,IT,100,PL,L,131300
85,2021,MI,FT,Data Engineer,110000,PLN,PL,100,PL,L,23655.5
86,2021,EN,FT,Data Analyst,50000,EUR,FR,50,FR,M,50500
87,2021,MI,FT,Data Analytics Engineer,110000,USD,US,100,US,L,110000
88,2021,SE,FT,Lead Data Analyst,170000,USD,US,100,US,L,170000
89,2021,SE,FT,Data Analyst,80000,USD,BG,100,US,S,80000
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,GR,100,DK,L,75750
91,2021,EN,FT,Data Science Consultant,65000,EUR,DE,100,DE,S,65650
92,2021,MI,FT,Lead Data Analyst,1450000,INR,IN,100,IN,L,18850
93,2021,SE,FT,Lead Data Engineer,276000,USD,US,0,US,L,276000
94,2021,EN,FT,Data Scientist,2200000,INR,IN,50,IN,L,28600
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,SG,50,SG,L,86400
96,2021,EN,PT,AI Scientist,12000,USD,BR,100,US,S,12000
97,2021,MI,FT,Financial Data Analyst,450000,USD,US,100,US,L,450000
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,US,100,US,M,70000
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,DE,100,US,S,81810
100,2021,MI,FT,Data Analyst,75000,USD,US,0,US,L,75000
101,2021,SE,FT,Data Engineer,150000,USD,US,100,US,L,150000
102,2021,MI,FT,BI Data Analyst,11000000,HUF,HU,50,US,L,27995
103,2021,MI,FT,Data Analyst,62000,USD,US,0,US,L,62000
104,2021,MI,FT,Data Scientist,73000,USD,US,0,US,L,73000
105,2021,MI,FT,Data Analyst,37456,GBP,GB,50,GB,L,43823.52
106,2021,MI,FT,Research Scientist,235000,CAD,CA,100,CA,L,180950
107,2021,SE,FT,Data Engineer,115000,USD,US,100,US,S,115000
108,2021,SE,FT,Data Engineer,150000,USD,US,100,US,M,150000
109,2021,EN,FT,Data Engineer,2250000,INR,IN,100,IN,L,29250
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,DE,50,DE,L,80800
111,2021,SE,FT,Director of Data Engineering,82500,GBP,GB,100,GB,M,96525
112,2021,SE,FT,Lead Data Engineer,75000,GBP,GB,100,GB,S,87750
113,2021,EN,PT,AI Scientist,12000,USD,PK,100,US,M,12000
114,2021,MI,FT,Data Engineer,38400,EUR,NL,100,NL,L,38784
115,2021,EN,FT,Machine Learning Scientist,225000,USD,US,100,US,L,225000
116,2021,MI,FT,Data Scientist,50000,USD,NG,100,NG,L,50000
117,2021,MI,FT,Data Science Engineer,34000,EUR,GR,100,GR,M,34340
118,2021,EN,FT,Data Analyst,90000,USD,US,100,US,S,90000
